product,type,quantity,selling_price,cost_price,shipping,fees,date,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Noise Cancelling Headphones,sale,3.0,1245.1086698976449,721.0,18.0,24.902173397952897,12-05-2023,,,,
External SSD,sale,3.0,5107.024601817386,3850.0,38.0,102.14049203634772,08-04-2023,,,,
Webcam,purchase,24.0,0.0,4035.0,55.0,0.0,21-11-2023,,,,
Wireless Mouse,purchase,2.0,0.0,2183.0,31.0,0.0,29-04-2023,,,,
USB-C Hub,sale,3.0,5356.970755012711,3148.0,40.0,107.13941510025423,05-11-2023,,,,
Noise Cancelling Headphones,sale,4.0,6219.3905143993425,4404.0,16.0,124.38781028798685,02-11-2023,,,,
External SSD,sale,4.0,7901.470674907469,4599.0,30.0,158.02941349814938,15-05-2023,,,,
External SSD,purchase,95.0,0.0,3170.0,34.0,0.0,03-10-2023,,,,
Ethernet Adapter,sale,2.0,4770.242808564595,2765.0,41.0,95.40485617129191,19-10-2023,,,,
Bluetooth Speaker,sale,2.0,699.2083732259812,531.0,47.0,13.984167464519624,12-12-2023,,,,
Wireless Mouse,sale,3.0,639.2304366896371,508.0,38.0,12.784608733792743,13-08-2023,,,,
External SSD,sale,4.0,3196.6998843074484,1815.0,30.0,63.93399768614897,19-01-2023,,,,
Laptop Stand,sale,1.0,2003.6868406480994,1416.0,37.0,40.07373681296199,14-06-2023,,,,
Wireless Mouse,purchase,91.0,0.0,2131.0,145.0,0.0,30-07-2023,,,,
USB-C Hub,purchase,57.0,0.0,3263.0,98.0,0.0,25-07-2023,,,,
Mechanical Keyboard,sale,2.0,5391.449971665365,3943.0,20.0,107.82899943330732,23-03-2023,,,,
Ethernet Adapter,sale,4.0,1374.8674771257413,966.0,13.0,27.497349542514826,26-03-2023,,,,
Wireless Mouse,sale,1.0,5555.288808672164,3522.0,43.0,111.10577617344329,30-12-2023,,,,
Ethernet Adapter,sale,1.0,1626.8303965106784,992.0,29.0,32.53660793021357,01-09-2023,,,,
Mechanical Keyboard,sale,2.0,2068.387621877357,1537.0,12.0,41.367752437547146,24-07-2023,,,,
Noise Cancelling Headphones,sale,3.0,6280.083989670503,4430.0,25.0,125.60167979341006,14-08-2023,,,,
External SSD,sale,4.0,5255.3996489941,3859.0,38.0,105.107992979882,13-06-2023,,,,
Gaming Monitor,sale,3.0,5828.436942660541,3246.0,5.0,116.56873885321082,12-07-2023,,,,
Ethernet Adapter,sale,3.0,3732.3125803131124,2416.0,21.0,74.64625160626225,15-02-2023,,,,
Bluetooth Speaker,sale,2.0,5626.75259661214,4063.0,28.0,112.53505193224281,18-10-2023,,,,
Noise Cancelling Headphones,sale,3.0,5691.313719038908,3257.0,14.0,113.82627438077816,08-01-2023,,,,
Bluetooth Speaker,sale,4.0,5914.635333246926,3649.0,35.0,118.29270666493852,09-03-2023,,,,
Laptop Stand,sale,4.0,1146.3496506798108,650.0,11.0,22.926993013596217,05-02-2023,,,,
