product,type,quantity,selling_price,cost_price,shipping,fees,date
Gaming Chair,sale,19,14648.14,8923.22,417.64,174.5,2025-10-11
VR Headset,sale,11,7072.36,5501.17,255.39,160.28,2023-03-29
VR Headset,purchase,20,16171.52,12077.28,28.81,181.73,2025-10-17
Mechanical Keyboard,purchase,48,16468.37,10003.3,237.17,96.23,2024-09-12
Drone Battery,sale,25,19030.39,11036.14,466.87,39.9,2023-06-01
Microphone,purchase,6,5332.01,4917.1,68.01,164.62,2023-06-05
Electric Kettle,purchase,3,11296.66,8548.22,240.15,240.74,2025-12-15
Smart Doorbell,purchase,16,17637.89,10144.61,461.45,95.41,2023-06-01
Graphic Tablet,sale,25,965.24,626.57,62.74,91.87,2023-01-10
Action Camera,sale,20,13811.78,9899.08,67.76,30.51,2025-08-26
Coffee Maker,purchase,48,19895.98,14214.29,353.65,226.56,2026-02-18
Electric Kettle,purchase,45,21875.02,14678.57,157.44,189.03,2025-01-14
Action Camera,purchase,12,13072.57,11055.18,83.19,35.12,2024-06-15
Dash Cam,purchase,49,5491.39,4545.58,292.92,241.46,2025-09-19
Electric Kettle,purchase,14,16264.9,9443.06,442.41,154.23,2023-02-13
Mechanical Keyboard,purchase,26,17005.52,13382.93,320.68,153.02,2025-08-16
Coffee Maker,sale,44,8106.75,5537.73,445.13,27.64,2024-11-27
Action Camera,purchase,3,3203.59,2223.59,74.36,84.4,2024-07-07
Electric Kettle,sale,44,11235.8,7204.72,290.72,163.78,2024-05-05
Drone Battery,purchase,9,16982.99,13962.41,120.96,50.73,2023-09-20
Wireless Charger,sale,10,12991.33,11301.09,302.82,16.7,2023-06-09
Router,sale,14,12217.89,7580.7,157.35,84.22,2024-01-17
Drone Battery,sale,49,2013.45,1255.81,284.21,179.5,2025-08-28
Electric Kettle,purchase,44,17169.69,14817.69,128.53,84.49,2025-03-13
Drone Battery,purchase,22,6882.14,5582.68,193.6,84.9,2025-05-05
Drone Battery,purchase,26,13261.97,8554.25,179.59,75.61,2025-11-27
Microphone,purchase,33,19252.05,11466.43,128.35,223.61,2024-10-21
Air Fryer,purchase,36,16070.73,14385.25,377.97,197.41,2025-09-23
Gaming Chair,purchase,22,20995.32,13477.19,73.4,78.3,2025-11-03
Graphic Tablet,purchase,10,11404.38,10481.89,110.75,164.26,2023-08-31
Projector,sale,12,3122.38,1917.2,75.76,65.63,2024-01-09
Tablet Cover,sale,45,18509.64,14630.05,322.46,70.61,2026-02-06
Action Camera,sale,7,17996.89,12500.73,44.26,182.76,2026-04-05
Graphic Tablet,sale,34,1776.04,1333.19,499.4,61.51,2023-06-10
Microphone,purchase,35,1612.02,1477.53,295.68,158.77,2023-12-27
